,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Cluster
297,2,19.0,4,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,22.0,2.74,1.0,2,1173.7,38.35585257476065,336.0,0,215.83917063897167,205.7209899544129,1,456.9011727399487,1
300,5,20.0,4,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,21.0,2.74,1.0,2,1173.7,32.833577838001574,339.0,0,215.83917063897167,117.31025890075192,0,535.3119037936099,1
302,7,20.0,4,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,19.0,2.74,1.0,2,1173.7,33.16506303288241,341.0,0,215.83917063897167,82.49686626015253,1,580.1252964342092,1
303,8,20.0,4,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,15.0,19.0,-1.2599999999999998,5.0,2,1173.7,38.17098242520041,342.0,0,215.83917063897167,105.7178730777444,1,556.9042896166172,1
314,3,18.0,2,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,12.0,5.67,0.0,2,233.79,33.48684838231401,293.0,0,100.18936089086122,770.6964130785489,5,650.0272564937055,1
316,5,19.0,2,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,2,233.79,26.54909964256456,295.0,0,100.18936089086122,149.52530495571628,1,580.3130008200893,1
317,6,19.0,2,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,2,233.79,28.10570447118097,296.0,0,100.18936089086122,66.77787001883797,1,663.0604357569674,1
318,7,19.0,2,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,2,233.79,26.50760976914888,297.0,0,100.18936089086122,66.6883582507525,1,663.149947525053,1
319,8,19.0,2,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,14.0,-1.33,2.0,2,233.79,28.453785791216827,295.0,0,100.18936089086122,82.84422854536191,0,636.9940772304436,1
393,2,38.0,3,95956.5,8279.375,8.0,4.0,11.0,2.0,23.0,10.0,11.94,2.0,2,1079.73,35.74006714971697,380.0,0,95.5216287821567,265.3115233534598,1,717.1043478643835,1
396,5,38.0,3,95956.5,8279.375,8.0,4.0,11.0,2.0,22.0,13.0,11.94,2.0,2,1079.73,37.20726208094325,383.0,0,95.5216287821567,517.8021721033211,2,474.61369911452215,1
426,3,43.0,2,123732.32,10416.026666666668,4.0,3.0,11.0,0.0,15.0,8.0,12.92,3.0,1,1154.46,32.686459062049586,329.0,0,0.0,874.7145584645815,4,446.8881082020852,1
430,7,43.0,2,123732.32,10416.026666666668,4.0,3.0,11.0,0.0,18.0,8.0,13.92,3.0,1,1154.46,31.11476599286333,333.0,0,0.0,170.8514935058887,1,1120.751173160778,1
431,8,43.0,2,123732.32,10416.026666666668,4.0,3.0,11.0,0.0,15.0,8.0,8.92,3.0,1,1154.46,26.26810601123289,334.0,0,0.0,589.8279399082364,4,731.7747267584301,1
448,1,25.0,3,80108.31,6866.6925,5.0,3.0,17.0,0.0,25.0,19.0,21.22,1.0,2,997.28,38.73267645522611,211.0,1,0.0,107.06565251713594,0,829.6035974828641,1
450,3,25.0,3,80108.31,6866.6925,5.0,3.0,17.0,0.0,25.0,16.0,14.22,1.0,2,997.28,26.72857312149849,213.0,1,0.0,549.0992910745523,3,407.5699589254477,1
451,4,25.0,3,80108.31,6866.6925,5.0,3.0,17.0,0.0,20.0,21.0,14.22,1.0,2,997.28,39.914636745116844,214.0,1,0.0,123.1885231417583,0,803.4807268582417,1
454,7,25.0,3,80108.31,6866.6925,5.0,3.0,17.0,0.0,25.0,19.0,14.22,4.0,2,997.28,39.36288148752646,217.0,1,0.0,127.2650164148755,0,799.4042335851245,1
455,8,25.0,3,80108.31,6866.6925,5.0,3.0,17.0,0.0,25.0,19.0,14.22,4.0,2,997.28,28.12327833446457,218.0,1,0.0,127.88628896345242,0,808.7829610365477,1
467,4,16.0,11,78988.48,6449.373333333332,9.0,5.0,29.0,7.0,27.0,17.0,15.27,9.0,0,1746.9,39.647077576006616,124.0,1,291.78276034215287,178.1531521273042,4,455.0014208638762,1
489,2,19.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,20.0,14.92,2.0,2,1219.39,35.7261306876056,374.0,1,214.8134632011097,113.16240501510686,1,515.7021317837833,1
491,4,19.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,17.0,13.92,2.0,2,1219.39,34.81301083926292,376.0,1,214.8134632011097,153.87446150766016,1,474.9900752912301,1
492,5,19.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,15.0,20.0,13.92,2.0,2,1219.39,33.015928099564874,377.0,1,214.8134632011097,424.0584111572644,5,244.806125641626,1
493,6,19.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,20.0,13.92,2.0,2,1219.39,26.389623845126987,378.0,1,214.8134632011097,188.5743324361481,1,440.2902043627421,1
494,7,19.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,20.0,13.92,2.0,2,1219.39,26.728958154089742,379.0,1,214.8134632011097,245.0679746502728,1,413.7965621486176,1
495,8,19.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,17.0,13.92,2.0,2,1219.39,37.84472128823233,380.0,1,214.8134632011097,428.4559993294142,3,220.40853746947613,1
498,3,33.0,11,88362.46,7255.538333333334,5.0,2.0,8.0,3.0,17.0,8.0,11.01,4.0,1,325.93,26.865799434471874,370.0,0,211.1843903373817,187.5698796552039,2,586.7995633407478,1
508,5,45.0,5,118248.6,10115.05,5.0,1.0,4.0,0.0,13.0,10.0,3.69,8.0,1,191.09,29.32435284395369,209.0,0,0.0,670.5779060877218,2,600.9270939122782,1
512,1,26.0,12,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,10.0,14.79,7.0,2,1037.45,36.35924551524061,158.0,1,220.2137267039484,80.01264638361248,1,469.5244602457725,1
513,2,26.0,12,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,10.0,14.79,7.0,2,1037.45,33.183942270673484,159.0,1,220.2137267039484,153.44754019420438,1,396.0895664351806,1
515,4,26.0,12,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,12.0,14.79,9.0,2,1037.45,27.64121029931031,161.0,1,220.2137267039484,356.38582469502177,3,213.15128193436323,1
517,6,26.0,12,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,11.0,14.79,9.0,2,1037.45,28.73291734995421,161.0,1,220.2137267039484,450.56017807702966,3,118.97692855235545,1
518,7,26.0,12,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,13.0,14.79,9.0,2,1037.45,25.52559353587388,164.0,1,220.2137267039484,10000.0,0,451.8138963143547,1
562,3,18.0,12,144546.72,11809.56,0.0,3.0,7.0,2.0,15.0,8.0,12.08,1.0,1,1045.11,43.611093896994845,280.0,0,136.9885566187904,103.9012093399207,0,1180.066234041289,1
650,3,41.0,13,103353.06,8527.755,3.0,3.0,6.0,1.0,4.0,7.0,3.11,2.0,1,1374.56,33.99185439584722,309.0,0,64.00168567310892,173.1808383657975,0,855.5929759610934,1
665,2,36.0,6,134978.24,11059.186666666665,8.0,5.0,15.0,2.0,12.0,16.0,9.89,3.0,2,668.14,46.19423785177885,315.0,1,145.11182338766034,129.5214490981345,1,1081.285394180872,1
693,6,21.0,1,66105.4,5653.783333333333,6.0,8.0,31.0,5.0,26.0,19.0,0.5199999999999996,9.0,0,1549.56,37.13217623240912,139.0,1,214.07212305606225,116.065986186524,2,495.2402240907471,1
760,1,28.0,12,62320.56,5068.38,9.0,9.0,18.0,5.0,26.0,15.0,21.24,10.0,0,3589.56,32.02053669516868,16.0,1,171.34555972446432,179.65030626450252,1,405.8421340110332,1
761,2,28.0,12,62320.56,5068.38,9.0,9.0,18.0,5.0,23.0,15.0,17.24,15.0,0,3589.56,39.00855552100049,17.0,1,171.34555972446432,102.42004863150606,0,473.0723916440297,1
762,3,28.0,12,62320.56,5068.38,9.0,9.0,18.0,5.0,22.0,17.0,17.24,15.0,0,3589.56,34.20428781836931,18.0,0,171.34555972446432,162.84136549864638,1,422.65107477688935,1
763,4,28.0,12,62320.56,5068.38,9.0,9.0,18.0,5.0,23.0,15.0,17.24,15.0,0,3589.56,34.73441661919471,19.0,1,171.34555972446432,672.9965674057812,5,414.24660439396126,1
764,5,28.0,12,62320.56,5068.38,9.0,9.0,18.0,5.0,23.0,17.0,17.24,15.0,0,3589.56,37.05281716968249,20.0,1,171.34555972446432,327.67257482733817,1,267.8198654481976,1
784,1,38.0,10,108147.3,8926.275,3.0,6.0,6.0,4.0,14.0,20.0,7.57,0.0,2,1113.06,36.423766643057526,345.0,1,211.1795815692456,328.48004275460164,2,612.9678756761531,1
785,2,38.0,10,108147.3,8926.275,3.0,6.0,6.0,4.0,13.0,19.0,7.57,0.0,2,1113.06,39.57269230547204,346.0,1,211.1795815692456,799.3782051437732,4,162.06971328698123,1
786,3,38.0,10,108147.3,8926.275,3.0,6.0,6.0,4.0,14.0,21.0,7.57,0.0,2,1113.06,27.29590216025758,348.5,1,211.1795815692456,116.53311639609774,0,804.9148020346566,1
808,1,26.0,14,134321.44,11064.453333333331,3.0,5.0,12.0,4.0,26.0,19.0,11.09,3.0,2,1428.68,26.75528645840011,392.0,1,253.6882437030989,715.7040604932922,4,417.0530291369421,1
820,5,24.0,7,61008.0,5235.0,10.0,5.0,32.0,4.0,16.0,20.0,19.44,12.0,2,1755.81,29.517083320737697,109.0,1,189.4265306646308,255.87718883726544,4,358.1962804981037,1
849,2,21.0,7,66528.24,5733.02,5.0,5.0,11.0,0.0,19.0,8.0,13.65,2.0,2,1460.8,38.251863834989365,269.0,1,0.0,38.94642667199516,0,774.3555733280049,1
850,3,21.0,7,66528.24,5733.02,5.0,5.0,11.0,0.0,15.0,9.0,13.65,2.0,2,1460.8,32.533873091785175,270.0,1,0.0,98.8275537457479,0,724.4744462542521,1
851,4,21.0,7,66528.24,5733.02,5.0,5.0,11.0,0.0,17.0,11.0,13.65,2.0,2,1460.8,36.6333635229857,271.0,1,0.0,215.618637897162,1,607.683362102838,1
955,4,54.0,8,80396.86,6623.738333333334,5.0,7.0,9.0,0.0,8.0,10.0,10.47,0.0,1,1357.54,31.31834535848105,320.0,0,0.0,305.4240013071364,5,646.9498320261971,1
957,6,54.0,8,80396.86,6623.738333333334,5.0,7.0,9.0,0.0,8.0,11.0,10.47,0.0,1,1357.54,26.53000278757841,322.0,0,0.0,422.5870728867617,4,519.7867604465716,1
958,7,54.0,8,80396.86,6623.738333333334,5.0,7.0,9.0,0.0,8.0,11.0,10.47,0.0,1,1357.54,32.267515261200145,323.0,0,0.0,230.976428677776,2,691.3974046555576,1
959,8,54.0,8,80396.86,6623.738333333334,5.0,7.0,9.0,0.0,8.0,11.0,10.47,0.0,1,1357.54,30.881981479734783,324.0,0,0.0,665.0311265156918,4,277.34270681764184,1
994,3,27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,26.0,16.0,17.78,4.0,2,89.62,35.7299493346968,371.0,1,69.10085253082353,97.69166507125584,0,611.482315731254,1
995,4,27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,29.0,15.0,18.78,4.0,2,89.62,37.015379521675406,372.0,0,69.10085253082353,528.3349930094088,5,230.83898779310107,1
996,5,27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,29.0,13.0,14.78,4.0,2,89.62,37.389860397181074,373.0,1,69.10085253082353,451.63818886419983,2,440.91823139807633,1
997,6,27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,29.0,16.0,14.78,4.0,2,89.62,34.81149095809449,374.0,1,69.10085253082353,451.63818886419983,3,287.53579193831,1
998,7,27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,29.0,16.0,14.78,4.0,2,89.62,40.064787121982825,375.0,1,69.10085253082353,151.03887049601283,1,568.1351103064969,1
999,8,27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,29.0,16.0,14.78,9.0,2,89.62,37.45884227990204,376.0,1,69.10085253082353,10000.0,1,529.4183765447266,1
1089,2,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,11.0,11.0,10.28,0.0,2,385.8,29.54094701502387,312.0,1,239.7673292742656,718.6753576919807,1,370.9129797004201,1
1090,3,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,16.0,12.0,7.28,0.0,2,385.8,30.68741311246648,313.0,1,239.7673292742656,264.1068677879902,3,835.4814696044107,1
1091,4,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,9.0,12.0,7.28,0.0,2,385.8,28.671552671002782,314.0,1,239.7673292742656,1082.8207308741428,4,26.76760651825816,1
1092,5,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,8.0,12.0,7.28,0.0,2,385.8,34.867199936909486,315.0,1,239.7673292742656,408.2953698500015,1,671.2929675423994,1
1093,6,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,13.0,12.0,7.28,0.0,2,385.8,27.895430482593948,316.0,1,239.7673292742656,248.7005807628313,1,830.8877566295697,1
1094,7,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,13.0,11.0,7.28,0.0,2,385.8,38.53472433904832,317.0,1,239.7673292742656,547.7266912833952,3,551.8616461090056,1
1095,8,44.0,6,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,13.0,13.0,7.28,0.0,2,385.8,39.90522241502006,318.0,1,239.7673292742656,212.270132932984,0,857.318204459417,1
1096,1,49.0,2,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,11.0,13.0,10.31,4.0,2,605.34,22.3936794206414,346.0,1,74.1586635323227,857.7632223732379,5,222.4557807611061,1
1098,3,49.0,2,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,13.0,13.0,10.31,4.0,2,605.34,28.406960520022945,348.0,1,74.1586635323227,298.14396084590567,1,742.0750422884382,1
1100,5,49.0,2,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,14.0,13.0,10.31,119.0,2,605.34,27.65699988974228,350.0,1,74.1586635323227,495.63102644589895,5,584.587976688445,1
1102,7,49.0,2,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,14.0,13.0,10.31,4.0,2,605.34,42.06913501619052,352.0,1,74.1586635323227,152.2626082458763,0,877.9563948884677,1
1103,8,49.0,2,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,14.0,14.0,10.31,4.0,2,605.34,31.418099791745163,353.0,1,74.1586635323227,79.74686437036993,0,950.472138763974,1
1112,1,26.0,5,118487.16,9810.93,8.0,4.0,20.0,4.0,17.0,20.0,12.76,1.0,2,140.26,33.66718197569836,376.0,0,301.5608682455748,354.2155580510482,4,595.3165737033771,1
1113,2,26.0,5,118487.16,9810.93,8.0,4.0,20.0,4.0,15.0,20.0,9.76,1.0,2,140.26,36.90906559020144,377.0,0,301.5608682455748,361.42718879840623,4,598.1049429560193,1
1114,3,26.0,5,118487.16,9810.93,8.0,4.0,20.0,4.0,15.0,22.0,9.76,1.0,2,140.26,42.19925093208845,378.0,0,301.5608682455748,10000.0,0,745.518594447889,1
1115,4,26.0,5,118487.16,9810.93,8.0,4.0,20.0,4.0,15.0,20.0,9.76,1.0,2,140.26,36.72347393051628,379.0,0,301.5608682455748,359.2148111532985,2,580.3173206011268,1
1117,6,26.0,5,118487.16,9810.93,8.0,4.0,20.0,4.0,15.0,20.0,9.76,1.0,2,140.26,35.48599081175465,381.0,0,301.5608682455748,683.3484299104707,4,276.1837018439545,1
1118,7,26.0,5,118487.16,9810.93,8.0,4.0,20.0,4.0,15.0,21.0,9.76,1.0,2,140.26,35.46944850379572,382.0,0,301.5608682455748,170.98420089604724,1,758.5479308583781,1
1189,6,27.0,10,91690.53,7795.8775,2.0,6.0,2.0,2.0,6.0,8.0,4.95,4.0,1,1295.18,37.694254104068,376.0,0,130.85085776482154,289.44778663732933,1,609.2891055978492,1
1209,2,31.0,0,59971.42,5190.618333333333,8.0,5.0,6.0,3.0,11.0,20.0,0.52,0.0,2,203.03,32.60829424933835,243.0,0,107.93724129573393,398.1844950780817,5,302.9400969595177,1
1211,4,31.0,0,59971.42,5190.618333333333,8.0,5.0,6.0,3.0,11.0,18.0,0.52,0.0,2,203.03,36.61509400836026,245.0,0,107.93724129573393,81.93143455401052,1,579.1931574835887,1
1212,5,31.0,0,59971.42,5190.618333333333,8.0,5.0,6.0,3.0,12.0,2008.0,0.52,4.0,2,203.03,30.37106368849617,246.0,0,107.93724129573393,171.7678290171303,2,499.3567630204692,1
1213,6,31.0,0,59971.42,5190.618333333333,8.0,5.0,6.0,3.0,11.0,20.0,0.52,4.0,2,203.03,37.976014680074265,247.0,0,107.93724129573393,63.43139146797594,1,597.6932005696234,1
1214,7,31.0,0,59971.42,5190.618333333333,8.0,5.0,6.0,3.0,11.0,20.0,-5.48,2.0,2,203.03,36.479430827706544,248.0,0,107.93724129573393,123.09794792721196,1,538.0266441103875,1
1265,2,32.0,14,115643.01,9910.9175,3.0,7.0,2.0,3.0,13.0,4.0,6.89,1.0,1,951.36,30.648620405524067,216.0,0,195.39400914592807,670.2124916931373,1,395.4852491609347,1
1321,2,46.0,3,70112.78,5989.731666666668,1.0,7.0,3.0,2.0,5.0,3.0,1.75,2.0,1,877.06,27.433201954021165,299.0,0,69.71794787486095,469.3210995715773,4,339.9341192202285,1
1361,2,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,29.0,17.0,14.7,4.0,2,1635.19,30.47750689504453,93.0,0,127.82606133041408,307.9415911364597,4,403.37301419979286,1
1362,3,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,26.0,15.0,14.7,4.0,2,1635.19,39.58268407682756,94.0,1,127.82606133041408,93.1196340949682,0,578.1949712412844,1
1363,4,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,29.0,15.0,14.7,4.0,2,1635.19,32.85935458022523,95.0,1,127.82606133041408,297.9761044470015,4,413.3385008892511,1
1364,5,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,31.0,15.0,14.7,4.0,2,1635.19,34.17436021991849,96.0,1,127.82606133041408,408.9846947281816,4,302.3299106080711,1
1365,6,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,29.0,15.0,14.7,4.0,2,1635.19,37.68110354386046,97.0,1,127.82606133041408,282.5707292093727,0,608.441418965617,1
1366,7,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,29.0,15.0,14.7,4.0,2,1635.19,41.59854443553787,98.0,1,127.82606133041408,141.93997260301632,2,549.3746327332364,1
1367,8,39.0,10,64036.88,5591.406666666668,8.0,4.0,15.0,4.0,31.0,15.0,14.7,9.0,2,1635.19,34.810104931502764,99.0,1,127.82606133041408,267.1653539717439,3,434.14925136450864,1
1376,1,22.0,0,86522.72,7098.2266666666665,8.0,5.0,13.0,1.0,17.0,10.0,15.51,8.0,2,455.22,39.76005143512123,332.0,1,45.2646813787989,95.86465456065368,0,808.6933307272142,1
1377,2,22.0,0,86522.72,7098.2266666666665,8.0,5.0,13.0,1.0,14.0,9.0,15.51,8.0,2,455.22,29.33748967668283,333.0,1,45.2646813787989,139.8368013187196,1,774.7211839691482,1
1380,5,22.0,0,86522.72,7098.2266666666665,8.0,5.0,13.0,1.0,14.0,10.0,15.51,8.0,2,455.22,29.96454401315236,336.0,0,45.2646813787989,182.12694941465256,3,752.4310358732151,1
1381,6,22.0,0,86522.72,7098.2266666666665,8.0,5.0,13.0,1.0,14.0,8.0,9.51,8.0,2,455.22,41.342234176572816,337.0,1,45.2646813787989,179.70841977458963,0,724.8495655132782,1
1382,7,22.0,0,86522.72,7098.2266666666665,8.0,5.0,13.0,1.0,16.0,13.0,15.51,8.0,2,455.22,28.476740116947106,338.0,1,45.2646813787989,472.9484215983242,4,471.6095636895436,1
1383,8,22.0,0,86522.72,7098.2266666666665,8.0,5.0,13.0,1.0,14.0,8.0,15.51,13.0,2,455.22,33.04000293842981,339.0,1,45.2646813787989,577.9699494898528,5,376.5880357980152,1
1426,3,40.0,8,112362.76,9279.563333333334,4.0,4.0,5.0,4.0,25.0,20.0,12.86,2.0,2,1358.65,32.737038460827144,280.0,0,236.27765779486907,255.56969591885743,1,686.108979619607,1
1430,7,40.0,8,112362.76,9279.563333333334,4.0,4.0,5.0,4.0,25.0,17.0,5.86,2.0,2,1358.65,29.914524259255,284.0,0,236.27765779486907,424.6995693345499,4,546.9791062039145,1
1431,8,41.0,8,112362.76,9279.563333333334,4.0,4.0,5.0,4.0,25.0,20.0,5.86,2.0,2,1358.65,41.12672063145665,285.0,0,236.27765779486907,119.96178536493608,0,811.7168901735283,1
1482,3,45.0,11,99127.04,8217.586666666666,8.0,3.0,10.0,4.0,15.0,19.0,13.88,7.0,2,1126.35,37.25037761330065,315.0,1,245.9851478363627,65.07212528458227,0,750.7013935457218,1
1485,6,45.0,11,99127.04,8217.586666666666,8.0,3.0,10.0,4.0,17.0,19.0,13.88,7.0,2,1126.35,32.775763750246576,318.0,1,245.9851478363627,353.12326554755884,4,502.6502532827452,1
1486,7,46.0,11,99127.04,8217.586666666666,8.0,3.0,10.0,4.0,22.0,19.0,13.88,7.0,2,1126.35,37.82668914771028,319.0,1,245.9851478363627,246.6601884341719,2,589.113330396132,1
1487,8,46.0,11,99127.04,8217.586666666666,8.0,3.0,10.0,4.0,17.0,19.0,13.88,7.0,2,1126.35,24.39190811534571,320.0,1,245.9851478363627,103.59412642870583,0,712.1793924015981,1
1534,7,19.0,10,113781.38999999998,9549.7825,1.0,4.0,1.0,0.0,10.0,7.0,11.34,4.0,1,1030.2,29.17479515251761,189.0,0,0.0,174.28759775147847,0,1020.6906522485216,1
1535,8,19.0,10,113781.38999999998,9549.7825,1.0,4.0,1.0,0.0,14.0,8.0,8.34,4.0,1,1030.2,28.59294254083936,190.0,0,0.0,617.0792665202719,2,597.8989834797281,1
1576,1,51.0,3,110786.63999999998,9299.22,4.0,6.0,5.0,3.0,12.0,15.0,8.68,1.0,2,226.7,31.054184723304548,292.0,1,209.314506964946,1203.1056676333058,5,454.0687852336638,1
1577,2,51.0,3,110786.63999999998,9299.22,4.0,6.0,5.0,3.0,15.0,15.0,8.68,2.0,2,226.7,40.42370339678217,293.0,0,209.314506964946,137.9096353932329,0,822.6978576418213,1
1583,8,52.0,3,110786.63999999998,9299.22,5.0,7.0,5.0,3.0,12.0,15.0,8.68,2.0,2,226.7,24.582893836113247,299.0,1,209.314506964946,925.1677802095476,5,85.43971282550626,1
1595,4,34.0,6,120366.6,9888.55,4.0,7.0,2.0,4.0,17.0,8.0,0.8,6.0,1,1396.64,31.95777655360828,257.0,0,233.4424036237371,252.0971432676336,0,743.3154531086293,1
1608,1,30.0,8,76087.68,6155.639999999999,6.0,3.0,9.0,4.0,18.0,12.0,13.73,2.0,2,50.22,24.530024663836752,259.0,1,232.0660770076541,424.8286522935895,1,238.6692706987564,1
1609,2,30.0,8,76087.68,6155.639999999999,6.0,3.0,9.0,4.0,14.0,7.0,13.73,2.0,2,50.22,24.197470848097574,260.0,1,232.0660770076541,155.5644189120126,1,477.9335040803333,1
1610,3,30.0,8,76087.68,6155.639999999999,6.0,3.0,9.0,4.0,11.0,10.0,13.73,2.0,2,50.22,39.97251078820781,261.0,1,232.0660770076541,137.10864874400758,1,486.38927424833815,1
1611,4,30.0,8,76087.68,6155.639999999999,6.0,3.0,9.0,4.0,15.0,3478.0,13.73,2.0,2,50.22,24.91935150647275,262.0,1,232.0660770076541,436.65557542771165,4,226.84234756463425,1
1612,5,31.0,8,76087.68,6155.639999999999,6.0,3.0,9.0,4.0,14.0,10.0,13.73,2.0,2,50.22,23.51605846311754,263.0,1,232.0660770076541,181.997998848856,1,451.49992414348986,1
