,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Cluster
80,1,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,2,1328.93,37.08907564543987,230.0,0,65.00817428651536,117.30669710658556,1,362.5457119402324,0
81,2,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,2,1328.93,30.908080633467584,231.0,1,65.00817428651536,70.13107792087979,0,399.7213311259382,0
82,3,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2,1328.93,38.03072168039317,232.0,1,65.00817428651536,270.18258222151513,3,229.6698268253028,0
83,4,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,17.0,22.0,11.0,8.0,2,1328.93,23.40441277698757,233.0,1,65.00817428651536,25.192561910314712,0,444.6598471365032,0
84,5,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,8.0,8.0,2,1328.93,29.073758182245705,234.0,1,65.00817428651536,243.32968479530567,5,276.5227242515123,0
85,6,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2,1328.93,32.78263672653516,235.0,1,65.00817428651536,72.86008181289458,1,406.9923272339233,0
86,7,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2,1328.93,35.58400504980836,236.0,1,65.00817428651536,35.427169541683696,0,444.4252395051343,0
87,8,41.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,17.0,11.0,8.0,2,1328.93,31.13948358493632,233.0,1,65.00817428651536,25.969611914778515,0,443.88279713203934,0
96,1,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,2,179.22,25.64924606724341,322.0,1,124.39208242092045,243.7354373920944,3,378.54048018698535,0
97,2,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,10.0,4.54,3.0,2,179.22,29.40877527612245,323.0,1,124.39208242092045,142.75186411942676,1,459.52405345965286,0
99,4,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,7.0,0.54,3.0,2,179.22,27.19258740532601,325.0,1,124.39208242092045,494.8422277056662,5,147.43368987341347,0
100,5,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,11.54,3.0,2,179.22,34.59532445612005,326.0,1,124.39208242092045,233.1184454152274,5,409.15747216385233,0
102,7,36.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,2,179.22,35.112531991297786,328.0,1,124.39208242092045,158.11240346721374,3,464.1635141118658,0
103,8,36.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,2,179.22,32.8788050668308,329.0,1,124.39208242092045,495.1178978821161,5,147.15801969696355,0
112,1,36.0,5,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,7.83,5.0,2,758.44,37.41820916883601,218.0,0,101.3286373638512,53.104599112612064,1,337.1522635235368,0
114,3,37.0,5,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,10.0,7.83,5.0,2,758.44,25.413616742350907,220.0,1,101.3286373638512,91.21658676189335,3,319.0402758742555,0
115,4,37.0,5,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,10.0,7.83,5.0,2,758.44,35.946278218900645,221.0,1,101.3286373638512,83.7147504914459,1,306.54211214470297,0
118,7,37.0,5,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,10.83,5.0,2,758.44,30.099067241911712,224.0,1,101.3286373638512,130.30039377019006,5,299.9564688659588,0
119,8,37.0,5,25546.26,2415.855,8.0,7.0,14.0,5.0,15.0,13.0,7.83,5.0,2,758.44,39.33348789822524,225.0,1,101.3286373638512,189.8158613334768,4,230.44100130267208,0
120,1,30.0,12,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,14.0,6.28,0.0,2,818.22,25.36959679239191,202.0,1,45.14129822463578,81.99883505710139,4,447.0747000515962,0
121,2,30.0,12,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,12.0,14.0,6.28,0.0,2,818.22,37.958569410003335,203.0,1,45.14129822463578,10000.0,5,157.86980351234496,0
124,5,30.0,12,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,14.0,6.28,1.0,2,818.22,30.788038803709785,206.0,1,45.14129822463578,43.47040866689117,1,455.6031264418064,0
125,6,31.0,12,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,14.0,6.28,1.0,2,818.22,34.280968719435315,207.0,1,45.14129822463578,112.7238874320964,2,396.3496476766012,0
127,8,31.0,12,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,16.0,6.28,1.0,2,818.22,36.012793772472094,209.0,1,45.14129822463578,97.58820324481088,3,421.4853318638867,0
136,1,45.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2,1283.37,28.94089258854545,77.0,1,103.03756035536594,254.86161508896944,4,211.93932455566463,0
137,2,46.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2,1283.37,27.86131019311364,78.0,1,103.03756035536594,103.21030741657007,3,353.59063222806395,0
138,3,46.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,10.0,12.0,9.22,8.0,2,1283.37,27.88169704475605,79.0,1,103.03756035536594,35.793568414159616,0,391.00737123047446,0
139,4,46.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2,1283.37,38.39455822201335,80.0,1,103.03756035536594,280.21825375922106,5,196.582685885413,0
141,6,46.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,8.22,10.0,2,1283.37,26.874467413543886,82.0,1,103.03756035536594,272.2735499123763,5,204.5273897322577,0
143,8,46.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,13.0,12.0,2.2200000000000006,10.0,2,1283.37,27.930123710625228,84.0,1,103.03756035536594,359.7718322852988,5,117.02910735933534,0
155,4,31.0,5,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51.0,19.0,9.95,7.0,0,2430.21,28.870386917234462,221.0,1,49.57206224445275,61.42802987477842,2,300.23607454743546,0
159,8,32.0,5,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,53.0,19.0,9.95,8.0,0,2430.21,23.70919322410504,225.0,1,49.57206224445275,118.1855506983746,4,263.4785537238393,0
162,3,41.0,11,19514.88,1828.24,7.0,5.0,17.0,0.0,30.0,12.0,4.17,2.0,2,881.4,33.66946005394869,233.0,0,0.0,43.315824459505386,1,389.5081755404946,0
186,3,31.0,7,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25.0,16.0,15.79,7.0,2,569.8,23.17983273627976,149.0,1,26.060347529205966,32.02630794260436,5,310.117052861523,0
193,2,34.0,9,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,53.0,21.0,7.27,1044.0,0,3532.83,37.87364186839308,147.0,1,200.43261339470683,193.8733754293324,1,327.78667784262745,0
197,6,34.0,9,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,46.0,21.0,7.27,17.0,0,3532.83,35.25737829905026,151.0,1,200.43261339470683,626.869242023209,5,322.3573455023746,0
198,7,34.0,9,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,49.0,21.0,7.27,1936.0,0,3532.83,24.63149693005803,152.0,1,200.43261339470683,234.73204010983812,4,316.9280131621217,0
200,1,48.0,5,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,14.0,1.13,3.0,2,614.6,23.723185779641085,214.0,0,42.22199265643221,10000.0,5,253.3256223508209,0
203,4,48.0,5,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,12.0,1.13,3.0,2,614.6,37.06719824335469,217.0,0,42.22199265643221,89.87484896281485,3,337.83390838075286,0
204,5,48.0,5,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,14.0,-2.87,3.0,2,614.6,29.339029437569323,218.0,0,42.22199265643221,155.4609440434731,5,292.24781330009466,0
206,7,48.0,5,20787.69,1999.3075,8.0,6.0,14.0,3.0,23.0,14.0,1.13,3.0,2,614.6,26.11024341981501,217.0,0,42.22199265643221,258.21517380152807,5,189.4935835420397,0
214,7,30.0,14,34290.12,2697.51,9.0,8.0,25.0,7.0,52.0,12.0,13.96,13.0,2,2686.81,35.11893274172206,170.0,1,185.1119825795006,224.09320407033417,3,150.5458133501653,0
216,1,32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,11.0,8.0,8.97,4.0,2,1233.1,27.98070066380292,230.0,1,30.57608482316153,397.00224891024857,5,224.64033293325656,0
217,2,32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,13.0,8.0,14.97,4.0,2,1233.1,28.0712918599624,231.0,1,30.57608482316153,443.9186741720723,5,177.7239076714328,0
218,3,32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,15.0,8.0,12.97,4.0,2,1233.1,28.361166154311103,232.0,1,30.57608482316153,50.50914885496671,0,521.1334329885384,0
220,5,32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,10.0,8.0,8.97,8.0,2,1233.1,26.44753733068293,234.0,1,30.57608482316153,178.09535842702488,3,423.54722341648034,0
221,6,32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,8.0,8.0,4.9700000000000015,8.0,2,1233.1,39.069843987300096,235.0,1,30.57608482316153,41.33398006254758,0,530.3086017809576,0
222,7,32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,11.0,8.0,8.97,8.0,2,1233.1,34.718643637980016,236.0,1,30.57608482316153,108.62344689023185,3,493.0191349532733,0
225,2,40.0,1,28572.39,2210.0325,6.0,3.0,15.0,3.0,25.0,9.0,4.89,0.0,2,400.07,36.43787041541562,364.0,0,69.60292048199007,83.0442090106474,1,358.3561205073625,0
226,3,40.0,1,28572.39,2210.0325,6.0,3.0,15.0,3.0,28.0,10.0,4.89,0.0,2,400.07,29.323516897407607,365.0,1,69.60292048199007,53.484203285005805,1,347.9161262330041,0
228,5,40.0,1,28572.39,2210.0325,6.0,3.0,15.0,3.0,25.0,12.0,4.89,2.0,2,400.07,37.5045523778052,367.0,1,69.60292048199007,61.628109134830005,1,339.77222038318,0
230,7,40.0,1,28572.39,2210.0325,6.0,3.0,15.0,3.0,25.0,13.0,4.89,2.0,2,400.07,35.025882785272486,365.0,1,69.60292048199007,76.60780889167367,5,364.7925206263362,0
247,8,55.0,12,20186.02,1684.168333333333,1.0,5.0,1.0,2.0,5.0,6.0,6.83,4.0,1,413.32,33.75820397193409,221.0,0,29.534583720496048,153.53879644098146,4,265.3434531718558,0
251,4,43.0,11,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,31.0,22.0,5.07,7.0,0,1793.54,35.91940492740646,228.0,1,65.13948777561222,75.79138890495672,4,277.7994566527644,0
257,2,21.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,29.0,17.0,11.8,7.0,2,1489.49,24.61461029221816,105.0,1,16.719300227776053,44.193003447546566,4,315.0105713246774,0
258,3,21.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,20.0,11.8,7.0,2,1489.49,26.15307797968565,106.0,1,16.719300227776053,47.266680510662326,4,311.93689426156163,0
259,4,21.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,15.0,11.8,7.0,2,1489.49,31.78179827243648,107.0,1,16.719300227776053,76.3552778113165,3,272.84829696090753,0
260,5,22.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,18.0,16.8,7.0,2,1489.49,37.661505448797726,108.0,1,16.719300227776053,72.34651350481404,5,296.85706126740985,0
261,6,22.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,17.0,11.8,7.0,2,1489.49,26.50747449505761,109.0,1,16.719300227776053,111.25763046793648,5,257.9459443042875,0
263,8,22.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,28.0,17.0,11.8,7.0,2,1489.49,32.25544266260322,111.0,1,16.719300227776053,91.82948180540612,5,277.37409296681784,0
264,1,43.0,14,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,17.0,16.58,6.0,2,98.97,40.4111148274711,157.0,1,149.89719942100822,109.48894961827229,1,467.0888509607195,0
265,2,43.0,14,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,20.0,16.58,6.0,2,98.97,27.806917787306933,158.0,1,149.89719942100822,83.30040818642512,1,483.2773923925665,0
268,5,44.0,14,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,20.0,22.58,6.0,2,98.97,34.192304393976734,161.0,1,149.89719942100822,180.83057335204728,4,415.7472272269445,0
270,7,44.0,14,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,20.0,21.58,10.0,2,98.97,28.260146747054986,163.0,1,149.89719942100822,380.5857010101063,4,215.9920995688854,0
272,1,36.0,12,42171.98,3764.331666666667,2.0,7.0,10.0,3.0,4.0,10.0,9.58,4.0,1,556.91,33.47895196844123,257.0,0,102.7629131170904,56.71137669245967,1,466.9588768571167,0
273,2,36.0,12,42171.98,3764.331666666667,2.0,7.0,10.0,3.0,4.0,8.0,2.58,4.0,1,556.91,26.98611475556368,258.0,0,102.7629131170904,136.98300144734569,5,426.6872521022305,0
279,8,37.0,12,42171.98,3764.331666666667,2.0,7.0,10.0,3.0,4.0,10.0,2.58,4.0,1,556.91,35.96285294028673,264.0,0,102.7629131170904,145.39924253815036,1,378.27101101142586,0
311,8,37.0,11,15566.02,1423.168333333333,8.0,5.0,32.0,4.0,17.0,23.0,9.24,9.0,2,1693.95,36.572989910187616,101.0,1,43.07051960231588,131.61252154380742,4,333.9677311876703,0
320,1,32.0,10,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,14.0,7.58,1.0,2,602.5,31.35686817783082,205.0,0,0.0,20.446680591816467,3,334.93577774151686,0
321,2,32.0,10,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,14.0,7.58,1.0,2,602.5,38.3394875583296,206.0,0,0.0,67.1617199501041,5,308.2207383832292,0
322,3,33.0,10,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,20.0,14.0,7.58,1.0,2,602.5,32.21809912303338,207.0,0,0.0,114.1999514806221,5,261.18250685271124,0
323,4,33.0,10,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,15.0,7.58,1.0,2,602.5,29.427231885574088,208.0,0,0.0,110.97422180573076,5,264.4082365276026,0
326,7,33.0,10,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,16.0,7.58,3.0,2,602.5,39.80429293873191,211.0,0,0.0,51.48954251473581,5,323.89291581859754,0
329,2,33.0,0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,0,3470.08,39.7416997740354,15.0,1,114.533020898938,53.6486433406095,1,344.1886690937858,0
331,4,33.0,0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,0,3470.08,27.68144422599345,17.0,1,114.533020898938,97.3135883386068,5,340.52372409578857,0
333,6,33.0,0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,45.0,21.0,21.73,9.0,0,3470.08,35.457081125135346,19.0,1,114.533020898938,72.98412458705273,2,334.85318784734267,0
334,7,33.0,0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,0,3470.08,27.159810891714944,20.0,1,114.533020898938,70.08822093436186,1,327.7490915000335,0
335,8,33.0,0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,0,3470.08,38.25442229235325,18.0,1,114.533020898938,242.53234925147845,1,195.30496318291688,0
337,2,42.0,1,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,6.0,10.0,13.74,6.0,2,749.95,37.26323374779548,132.0,1,49.348666321498655,155.82293033496256,5,309.74074067429456,0
341,6,42.0,1,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,6.0,10.0,6.74,11.0,2,749.95,37.55229512400509,136.0,1,49.348666321498655,192.3720689532156,5,222.33318139195245,0
342,7,42.0,1,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,1.0,7.0,13.74,11.0,2,749.95,38.33877418250452,137.0,1,49.348666321498655,119.2737917167095,3,275.43145862845853,0
362,3,15.0,5,55829.79,4369.4825,10.0,10.0,18.0,8.0,30.0,19.0,27.99,11.0,0,3422.49,27.978801736074782,127.0,1,314.90178526768176,132.0062494947303,2,250.040215237588,0
363,4,15.0,5,55829.79,4369.4825,10.0,10.0,18.0,8.0,30.0,18.0,27.99,11.0,0,3422.49,27.11330402087476,129.5,1,314.90178526768176,172.22330996900791,2,209.8231547633104,0
367,8,16.0,5,55829.79,4369.4825,10.0,10.0,18.0,8.0,30.0,19.0,23.99,11.0,0,3422.49,37.865668074107326,132.0,1,314.90178526768176,255.7295013568828,5,156.31696337543542,0
433,2,36.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,8.0,15.0,15.06,6.0,2,2431.64,37.2259443913206,137.0,0,57.35116518894053,26.598673984804908,0,321.51166082625457,0
434,3,37.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,5.0,12.0,15.06,6.0,2,2431.64,27.59559906416533,138.0,1,57.35116518894053,132.4439010247437,3,245.66643378631576,0
435,4,37.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,10.0,15.0,15.06,6.0,2,2431.64,28.12269301564605,139.0,1,57.35116518894053,169.3026601007154,5,228.8076747103441,0
436,5,37.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,8.0,15.0,15.06,10.0,2,2431.64,33.914865389507106,140.0,1,57.35116518894053,71.91051580059042,2,296.19981901046907,0
437,6,37.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,5.0,15.0,15.06,10.0,2,2431.64,32.70581750680671,141.0,1,57.35116518894053,54.07668313620942,4,334.03365167485015,0
438,7,37.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,8.0,15.0,15.06,8.0,2,2431.64,31.306609767869592,142.0,1,57.35116518894053,93.28420494099647,5,304.826129870063,0
439,8,37.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,3.0,15.0,15.06,10.0,2,2431.64,32.944844211843844,139.5,1,57.35116518894053,23.472604725994863,0,324.6377300850646,0
441,2,22.0,5,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,14.0,19.0,5.79,4.0,2,125.25,23.33674450597847,297.0,0,95.8007129241996,259.7908044889353,3,227.6608992535318,0
544,1,30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,20.0,8.36,4.0,2,580.31,26.97596094691765,291.0,0,64.84803820501804,10000.0,1,407.29362817352256,0
545,2,30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,23.0,8.36,4.0,2,580.31,33.55567403668109,292.0,0,64.84803820501804,149.61343969134492,3,327.6921887703037,0
546,3,30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,18.0,8.36,4.0,2,580.31,35.832413001799885,293.0,0,64.84803820501804,10000.0,2,327.4436391537588,0
547,4,30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,17.0,8.36,4.0,2,580.31,34.533573446234776,294.0,0,64.84803820501804,60.91459665428536,1,396.3910318073632,0
549,6,30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,16.0,20.0,8.36,4.0,2,580.31,31.07504071049173,296.0,0,64.84803820501804,225.919788067928,5,271.38584039372057,0
551,8,30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,20.0,8.36,4.0,2,580.31,22.960527669460905,293.5,0,64.84803820501804,127.93517796334363,5,369.370450498305,0
568,1,38.0,4,30346.35,2651.8625,5.0,4.0,14.0,7.0,27.0,9.0,18.8,5.0,2,523.56,28.21235655923923,100.0,1,96.72128021256924,145.10837488507798,5,313.35659490235275,0
569,2,39.0,4,30346.35,2651.8625,5.0,4.0,14.0,7.0,29.0,9.0,18.8,5.0,2,523.56,30.28018465928141,101.0,1,96.72128021256924,332.4861615608296,5,125.97880822660112,0
574,7,39.0,4,30346.35,2651.8625,5.0,4.0,14.0,7.0,26.0,9.0,23.8,5.0,2,523.56,40.39063355179525,106.0,1,96.72128021256924,99.62847379534055,5,348.83649599209014,0
575,8,39.0,4,30346.35,2651.8625,5.0,4.0,14.0,7.0,29.0,6.0,18.8,5.0,2,523.56,26.31347755979629,107.0,1,96.72128021256924,29.045193182720087,1,389.4197766047106,0
576,1,46.0,9,18681.465,1584.78875,2.0,3.0,9.0,2.0,6.0,8.0,3.9,1.0,1,327.88,27.531342922886093,369.0,0,24.8214249786604,52.09642061214282,5,351.56102940919675,0
611,4,19.0,9,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,10.06,0.0,2,996.54,40.79135175718472,386.0,1,0.0,216.36543589675853,3,330.35773076990813,0
612,5,19.0,9,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,10.06,0.0,2,996.54,25.34390218217173,387.0,1,0.0,338.0036514928921,5,228.7195151737745,0
613,6,19.0,9,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,7.0600000000000005,0.0,2,996.54,39.49437696715399,388.0,1,0.0,118.67437531471852,5,448.04879135194807,0
624,1,34.0,1,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,11.0,20.0,5.62,0.0,2,1093.87,31.555540389733345,210.5,0,10.535555607461252,97.555513512813,4,293.3867642130591,0
626,3,34.0,1,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,11.0,20.0,5.62,0.0,2,1093.87,25.894834158418327,208.0,0,10.535555607461252,120.97121961577176,4,269.9710581101004,0
630,7,34.0,1,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,10.0,21.0,5.62,2.0,2,1093.87,25.359340485549847,212.0,0,10.535555607461252,50.59241299418775,1,310.3498647316844,0
631,8,34.0,1,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,5.0,20.0,5.62,2.0,2,1093.87,35.03187221946185,213.0,0,10.535555607461252,99.294457791796,5,301.6478199340761,0
640,1,47.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,0.0,15.0,5.65,0.0,2,730.9,26.99358623184505,357.0,0,20.06363388435491,42.298588028682495,2,321.865611420296,0
641,2,47.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,5.0,15.0,5.65,0.0,2,730.9,36.33219149480257,360.0,0,20.06363388435491,54.89407315545213,5,329.2701262935263,0
643,4,47.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,6.0,183.0,5.65,0.0,2,730.9,34.903091503743575,360.0,0,20.06363388435491,28.516043623264604,1,325.6481558257138,0
644,5,47.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,5.0,16.0,5.65,0.0,2,730.9,32.535127683468765,360.0,0,20.06363388435491,157.55247218936458,5,236.61172725961384,0
645,6,47.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,7.0,16.0,5.65,0.0,2,730.9,33.68265491389942,362.0,0,20.06363388435491,119.1483872479078,4,265.0158122010706,0
647,8,48.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,5.0,15.0,5.65,0.0,2,730.9,29.998151246391902,364.0,0,20.06363388435491,31.71381628337271,3,342.45038316560573,0
656,1,38.0,6,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,16.0,21.0,18.21,4.0,2,852.81,31.194398646221146,394.0,0,90.7591784649516,68.51358027398932,1,366.3375745943925,0
658,3,38.0,6,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,21.0,20.0,11.21,7.0,2,852.81,32.866581629755615,396.0,0,90.7591784649516,136.9906688908975,3,317.86048597748425,0
660,5,38.0,6,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,16.0,20.0,5.210000000000001,7.0,2,852.81,34.139449388432155,398.0,0,90.7591784649516,153.4035982175167,2,291.44755665086507,0
661,6,38.0,6,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,20.0,20.0,11.21,7.0,2,852.81,37.1715264449191,399.0,0,90.7591784649516,56.97757258677189,0,367.8735822816098,0
662,7,38.0,6,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,16.0,20.0,11.21,7.0,2,852.81,38.08024160471312,400.0,0,90.7591784649516,81.08806112719697,3,373.7630937411848,0
674,3,28.0,14,39800.12,3047.6766666666667,7.0,5.0,12.0,3.0,17.0,18.0,18.53,4.0,2,660.69,29.72470802930908,215.0,1,58.48765733950958,410.2436030862397,5,126.03640624091744,0
